Sep 29, 2018 1:25:57 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Sep 29, 2018 1:25:57 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Sep 29, 2018 1:25:57 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /Users/joshventocilla/Documents/apache-karaf-4.2.1/lock
Sep 29, 2018 1:25:57 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Sep 29, 2018 1:25:57 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2018-09-29T13:25:58,552 | INFO  | FelixStartLevel  | fileinstall                      | 10 - org.apache.felix.fileinstall - 3.6.4 | Creating configuration from jmx.acl.java.lang.Memory.cfg
2018-09-29T13:25:58,562 | INFO  | FelixStartLevel  | fileinstall                      | 10 - org.apache.felix.fileinstall - 3.6.4 | Creating configuration from org.apache.felix.fileinstall-deploy.cfg
2018-09-29T13:25:58,567 | INFO  | FelixStartLevel  | fileinstall                      | 10 - org.apache.felix.fileinstall - 3.6.4 | Creating configuration from org.apache.felix.eventadmin.impl.EventAdmin.cfg
2018-09-29T13:25:59,764 | INFO  | activator-1-thread-2 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 | Adding features: kar/[4.2.1,4.2.1],instance/[4.2.1,4.2.1],shell/[4.2.1,4.2.1],jaas/[4.2.1,4.2.1],package/[4.2.1,4.2.1],service/[4.2.1,4.2.1],system/[4.2.1,4.2.1],deployer/[4.2.1,4.2.1],bundle/[4.2.1,4.2.1],diagnostic/[4.2.1,4.2.1],feature/[4.2.1,4.2.1],wrap/[2.5.4,2.5.4],management/[4.2.1,4.2.1],framework/[4.2.1,4.2.1],eventadmin/[4.2.1,4.2.1],ssh/[4.2.1,4.2.1],log/[4.2.1,4.2.1],config/[4.2.1,4.2.1]
2018-09-29T13:26:00,192 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 | Changes to perform:
2018-09-29T13:26:00,193 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   Region: root
2018-09-29T13:26:00,194 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |     Bundles to install:
2018-09-29T13:26:00,204 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.api/1.1.5
2018-09-29T13:26:00,205 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.core/1.1.8
2018-09-29T13:26:00,205 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.whiteboard/1.2.0
2018-09-29T13:26:00,205 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.apache.aries/org.apache.aries.util/1.1.3
